_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,406,12:31:10,52.41864,0.16850,6180,8,4.67*58D7","G8ZBJ,2E0KPI,M0UPU,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",406,12:31:10,52.41864,0.1685,6180,8,4.67
"$$X0,408,12:31:34,52.42323,0.17421,6276,8,4.67*4A51","G8ZBJ,2E0KPI,M0UPU,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",408,12:31:34,52.42323,0.17421,6276,8,4.67
"$$X0,407,12:31:22,52.42091,0.17139,6226,8,4.67*E8BF","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",407,12:31:22,52.42091,0.17139,6226,8,4.67
"$$X0,409,12:31:46,52.42552,0.17701,6312,8,4.66*51DB","G8ZBJ,2E0KPI,M0UPU,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",409,12:31:46,52.42552,0.17701,6312,8,4.66
"$$X0,411,12:32:10,52.43033,0.18228,6425,8,4.67*D1EC","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",411,12:32:10,52.43033,0.18228,6425,8,4.67
"$$X0,410,12:31:58,52.42792,0.17961,6361,8,4.67*EC75","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",410,12:31:58,52.42792,0.17961,6361,8,4.67
"$$X0,413,12:32:34,52.43549,0.18763,6548,8,4.67*5F9E","PD3T,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,G6GZH",413,12:32:34,52.43549,0.18763,6548,8,4.67
"$$X0,412,12:32:22,52.43283,0.18488,6481,8,4.67*239C","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",412,12:32:22,52.43283,0.18488,6481,8,4.67
"$$X0,414,12:32:46,52.43817,0.19057,6605,8,4.66*3536","M0UPU,G3ZGZ,PD3T,G0CXW,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,G6GZH",414,12:32:46,52.43817,0.19057,6605,8,4.66
"$$X0,415,12:32:58,52.44068,0.19345,6660,8,4.67*B977","G8ZBJ,G0CXW,2E0KPI,M0UPU,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",415,12:32:58,52.44068,0.19345,6660,8,4.67
